thickness,year,mint
0.058,2023,d
0.058,2011,d
0.057,2015,d
0.059,2024,d
0.059,1999,d
0.060,1986,d
0.060,1996,d
0.055,2023,d
0.056,2001,p
0.055,2015,d
0.058,1992,d
0.055,2003,d
0.056,2023,d
0.056,2023,d
0.062,1987,d
0.055,2022,d
0.055,2023,d
0.058,1975,d
0.057,2023,d
0.057,2017,d
0.060,2021,d
0.054,2016,d
0.057,2023,d
0.058,1976,d
0.058,1978,d
0.055,1991,p
0.054,2000,d
0.057,1990,d
0.061,1989,d
0.059,2013,d
0.056,1989,d
0.057,2023,d
0.056,2023,d
0.056,2024,d
0.062,1994,d
0.055,1998,d
0.058,2015,d
0.059,2015,d
0.060,2015,d
0.061,1968,d
0.055,2023,d
0.059,2005,d
0.058,2008,d
0.056,2001,d
0.061,1993,d
0.056,2021,d
0.056,2023,d
0.060,1981,d
0.056,2019,d
0.057,2015,d
